ML Model Name,Accuracy,AUC,Precision,Recall,F1,MCC,Saved Model
Logistic Regression,0.8351541636319495,0.8009295102363319,0.3679361179361179,0.6454741379310345,0.46870109546165883,0.40072366466401105,models\Logistic_Regression.joblib
Naive Bayes (Gaussian),0.8049283806749211,0.7754990654040286,0.31717824448034465,0.634698275862069,0.4229802513464991,0.348984982862235,models\Naive_Bayes_Gaussian.joblib
XGBoost,0.9011896091284293,0.8082332155997924,0.6376811594202898,0.28448275862068967,0.39344262295081966,0.3819979336354441,models\XGBoost.joblib
Random Forest,0.8949987861131342,0.7844024187461672,0.567741935483871,0.28448275862068967,0.37903804737975594,0.35206401118147385,models\Random_Forest.joblib
kNN,0.9003398883224083,0.7767865671729798,0.6457765667574932,0.25538793103448276,0.36602316602316604,0.3641149995423216,models\kNN.joblib
Decision Tree,0.8468074775430929,0.6191699048304166,0.3215811965811966,0.32435344827586204,0.3229613733905579,0.23659856840537621,models\Decision_Tree.joblib
